sitio,id,marca,modelo,nombre,Sistema Operativo,Procesador,RAM (GB),Almacenamiento interno (GB),Pantalla (Pulgadas),Camara Principal (MP),Camara frontal (MP),NFC,Precio_comprador,Precio_anterior,precio_sin_impuestos,financiacion_plazo,per_descuento,presion_impositiva_pais_per,ratio_memoria_precio,ratio_mp_precio,costo_unitario_total,Categoria
Cetrogar,Xiaomi - Redmi 14C,Xiaomi,Redmi 14C,"Xiaomi Redmi 14C 6.8"" 4GB 128GB Blue",Android 14,Octa Core 2.0 GHz,4,128,6.8,50,13,No,329999,349999,272726,NA,6,22,2500,5238.1,7738.1,Gama media
Cetrogar,Xiaomi - Redmi 14C,Xiaomi,Redmi 14C,"Xiaomi Redmi 14C 6.8"" 4GB 128GB Black",Android 14,Octa Core 2.0 GHz,4,128,6.8,50,13,No,329999,349999,272726,NA,6,22,2500,5238.1,7738.1,Gama media
Cetrogar,Tecno - Mobile KL7,Tecno,Mobile KL7,Tecno Mobile KL7 Spark 30 Pro 8GB 256GB Obsidian Edge,NA,NA,8,256,6.78,108,13,Si,369999,599999,305784,NA,38,49,1401.5,3057.8,4459.3,Gama alta
Cetrogar,Tecno - Mobile KL7,Tecno,Mobile KL7,Tecno Mobile KL7 Spark 30 Pro 8GB 256GB Artic Glow,NA,NA,8,256,6.78,108,13,Si,369999,599999,305784,NA,38,49,1401.5,3057.8,4459.3,Gama alta
Cetrogar,Tecno - Mobile KL5,Tecno,Mobile KL5,Tecno Mobile KL5 Spark 30C 4GB 256GB Magic Skin Green,NA,NA,4,256,6.67,50,8,No,209999,399999,173552,NA,48,57,807.7,3620.7,4428.4,Gama media
Cetrogar,Samsung - Galaxy A36,Samsung,Galaxy A36,"Samsung Galaxy A36 6.7"" 5G 8GB 256GB Awesome Black",Android 15,Octa Core 2.4GHz,8,256,6.7,50,12,No,642999,779999,531404,NA,18,32,2435.6,10371,12806.6,Gama alta
Cetrogar,Samsung - Galaxy A56,Samsung,Galaxy A56,"Samsung Galaxy A56 6.7""5G 8GB 256GB Awesome Lightgray",Android 15,Octa Core 2.9GHz,8,256,6.7,50,12,No,765999,929999,633057,NA,18,32,2901.5,12354.8,15256.3,Gama alta
Cetrogar,Motorola - E15,Motorola,E15,"Motorola E15 6.6"" 4G 2GB 64GB lavanda",NA,Octa Core,2,64,6.6,32,8,No,125999,179999,104131,NA,30,42,1909.1,3150,5059.1,Gama baja
Cetrogar,Motorola - E15,Motorola,E15,"Motorola E15 6.6"" 4G 2GB 64GB azul",NA,Octa Core,2,64,6.6,32,8,No,149999,179999,123966,NA,17,31,2272.7,3750,6022.7,Gama baja
Cetrogar,Motorola - G05,Motorola,G05,"Motorola G05 6.6"" 4G 4GB 64GB verde",NA,Octa Core,4,64,6.6,50,8,No,159999,209999,132230,NA,24,37,2352.9,2758.6,5111.5,Gama media
Cetrogar,Xiaomi - Redmi 14T,Xiaomi,Redmi 14T,"Xiaomi Redmi 14T 6.67"" 12GB 512GB Titan gray",NA,Octa Core,12,512,6.67,50,32,Si,1619999,1649999,1338842,NA,2,19,3091.6,19756.1,22847.699999999997,Gama alta
Cetrogar,Xiaomi - Redmi 14T,Xiaomi,Redmi 14T,"Xiaomi Redmi 14T 6.67"" 12GB 512GB Titan black",NA,Octa Core,12,512,6.67,50,32,Si,1619999,1649999,1338842,NA,2,19,3091.6,19756.1,22847.699999999997,Gama alta
Cetrogar,Xiaomi - Redmi 14T,Xiaomi,Redmi 14T,"Xiaomi Redmi 14T 6.67"" 12GB 512GB Titan blue",NA,Octa Core,12,512,6.67,50,32,Si,1619999,1649999,1338842,NA,2,19,3091.6,19756.1,22847.699999999997,Gama alta
Cetrogar,Samsung - Galaxy A16,Samsung,Galaxy A16,"Samsung Galaxy A16 6.7"" 4GB 128GB Black",Android 14,Octa Core 2.4 GHz,4,128,6.7,50,13,Si,304999,389999,252065,NA,22,35,2310.6,4841.3,7151.9,Gama media
Cetrogar,Samsung - Galaxy S25,Samsung,Galaxy S25,"Samsung Galaxy S25 6.2"" 12GB 256GB Navy",Android 15,Octa Core 4.47GHz,12,256,6.2,50,12,Si,1399999,1699999,1157023,NA,18,32,5223.9,22580.6,27804.5,Gama alta
Cetrogar,Infinix - Note 40,Infinix,Note 40,"Infinix Note 40 6.78"" 5G 8GB 256GB Obsidian black",NA,MTK 7020,8,256,6.78,108,32,No,499999,679999,413222,NA,26,39,1893.9,3571.4,5465.3,Gama media
Cetrogar,Realme - Note 60,Realme,Note 60,"Realme Note 60 6.7"" 4GB 128GB Voyage blue",NA,Octa Core,4,128,6.7,32,5,No,219999,345799,181817,NA,36,47,1666.7,5945.9,7612.5999999999995,Gama media
Cetrogar,Tecno - Mobile Camon,Tecno,Mobile Camon,"Tecno Mobile Camon 30S 6.78"" 8GB 256GB Gold",NA,MTK Helio G100,8,256,6.78,50,50,Si,499999,829999,413222,NA,40,50,1893.9,5000,6893.9,Gama alta
Cetrogar,Tecno - Mobile Camon,Tecno,Mobile Camon,"Tecno Mobile Camon 30S 6.78"" 8GB 256GB Green",NA,MTK Helio G100,8,256,6.78,50,50,Si,435999,829999,360329,NA,47,57,1651.5,4360,6011.5,Gama alta
Cetrogar,Tecno - Mobile Camon,Tecno,Mobile Camon,"Tecno Mobile Camon 30S 6.78"" 8GB 256GB Grey",NA,MTK Helio G100,8,256,6.78,50,50,Si,499999,829999,413222,NA,40,50,1893.9,5000,6893.9,Gama alta
Cetrogar,Samsung - Galaxy A16,Samsung,Galaxy A16,"Samsung Galaxy A16 6.7"" 5G 8GB 256GB Blue Black",Android 14,Octa Core 2.4 GHz,8,256,6.7,50,13,No,415999,529999,343800,NA,22,35,1575.8,6603.2,8179,Gama media
Cetrogar,OPPO - RENO 12F,OPPO,RENO 12F,"OPPO RENO 12F 6.7"" 12GB 256GB naranja",NA,Octa Core,12,256,6.7,50,32,Si,799999,899999,661156,NA,11,27,2985.1,9756.1,12741.2,Gama alta
Cetrogar,OPPO - RENO 12F,OPPO,RENO 12F,"OPPO RENO 12F 6.7"" 12GB 256GB verde",NA,Octa Core,12,256,6.7,50,32,Si,799999,899999,661156,NA,11,27,2985.1,9756.1,12741.2,Gama alta
Cetrogar,OPPO - A60,OPPO,A60,"OPPO A60 6.7"" 8GB 256GB negro",NA,Octa Core,8,256,6.7,50,5,No,394999,569999,326445,NA,31,43,1496.2,7181.8,8678,Gama media
Cetrogar,OPPO - A40,OPPO,A40,"OPPO A40 6.7"" 4GB 256GB café",NA,Octa Core,4,256,6.7,50,5,No,299999,399999,247933,NA,25,38,1153.8,5454.5,6608.3,Gama media
Cetrogar,OPPO - A40,OPPO,A40,"OPPO A40 6.7"" 4GB 256GB lila+ Cargador Supervooc 45W",NA,Octa Core,4,256,6.7,50,5,No,299999,399999,247933,NA,25,38,1153.8,5454.5,6608.3,Gama media
Cetrogar,Tecno - Mobile Pova,Tecno,Mobile Pova,"Tecno Mobile Pova 6 6.78"" 8GB 256GB comet green",NA,Octa Core,8,256,6.78,108,32,Si,339999,599999,280990,NA,43,53,1287.9,2428.6,3716.5,Gama alta
Cetrogar,Tecno - Mobile Pova,Tecno,Mobile Pova,"Tecno Mobile Pova 6 6.78"" 8GB 256GB interstellar blue",NA,Octa Core,8,256,6.78,108,32,Si,339999,599999,280990,NA,43,53,1287.9,2428.6,3716.5,Gama alta
Cetrogar,Tecno - Mobile Pova,Tecno,Mobile Pova,"Tecno Mobile Pova 6 6.78"" 8GB 256GB meteorite grey",NA,Octa Core,8,256,6.78,108,32,Si,339999,599999,280990,NA,43,53,1287.9,2428.6,3716.5,Gama alta
Cetrogar,Tecno - Mobile Pova,Tecno,Mobile Pova,"Tecno Mobile Pova 6 6.78"" 12GB 256GB Interstellar blue",NA,Octa Core,4,256,6.78,108,32,Si,429999,699999,355371,NA,39,49,1653.8,3071.4,4725.2,Gama media
Cetrogar,Tecno - Mobile Pova,Tecno,Mobile Pova,"Tecno Mobile Pova 6 6.78"" 12GB 256GB Meteorite grey",NA,Octa Core,4,256,6.78,108,32,Si,429999,699999,355371,NA,39,49,1653.8,3071.4,4725.2,Gama media
Cetrogar,Infinix - Note 40,Infinix,Note 40,"Infinix Note 40 Pro 6.78"" 8GB 256GB Vintage green",NA,Octa Core,8,256,6.78,108,32,Si,699999,779999,578511,NA,10,26,2651.5,5000,7651.5,Gama alta
Cetrogar,Infinix - Note 40,Infinix,Note 40,"Infinix Note 40 Pro 6.78"" 8GB 256GB Obsidian black",NA,Octa Core,8,256,6.78,108,32,Si,699999,779999,578511,NA,10,26,2651.5,5000,7651.5,Gama alta
Cetrogar,Nubia - Neo 2,Nubia,Neo 2,"Nubia Neo 2 6.7"" 8GB 256GB gris",NA,Quad Core,8,256,6.7,50,32,Si,419999,455999,347106,NA,8,24,1590.9,5121.9,6712.799999999999,Gama alta
Cetrogar,Nubia - Neo 2,Nubia,Neo 2,"Nubia Neo 2 Nubia 6.7"" 8GB 256GB plateado",NA,Quad Core,8,256,6.7,50,32,Si,419999,455999,347106,NA,8,24,1590.9,5121.9,6712.799999999999,Gama alta
Cetrogar,Samsung - Galaxy Z,Samsung,Galaxy Z,"Samsung Galaxy Z Fold5 7.6"" 6.2"" 12GB 256GB Phantom black",Android 14,Octa Core 3.3 GHz,12,256,7.6,50,10,Si,2199999,3699999,1818180,NA,41,51,8209,36666.7,44875.7,Gama alta
Cetrogar,Motorola - Edge 50,Motorola,Edge 50,"Motorola Edge 50 6.6"" 12GB 256GB Peach",Android 14,Octa-Core 3GHz,12,256,6.6,50,32,Si,799999,999999,661156,NA,20,34,2985.1,9756.1,12741.2,Gama alta
Cetrogar,Motorola - Edge 50,Motorola,Edge 50,"Motorola Edge 50 6.6"" 12GB 256GB green",Android 14,Octa-Core 3GHz,12,256,6.6,50,32,Si,799999,999999,661156,NA,20,34,2985.1,9756.1,12741.2,Gama alta
Cetrogar,Motorola - Edge 50,Motorola,Edge 50,"Motorola Edge 50 6.6"" 12GB 256GB Grey",Android 14,Octa-Core 3GHz,12,256,6.6,50,32,Si,799999,999999,661156,NA,20,34,2985.1,9756.1,12741.2,Gama alta
Cetrogar,Samsung - Galaxy A06,Samsung,Galaxy A06,"Samsung Galaxy A06 6.7"" 4GB 128GB Light blue",Android 14,Octa-Core (2.0GHz.1.8GHz),4,128,6.7,50,8,No,204999,274999,169420,NA,25,38,1553,3534.5,5087.5,Gama media
Cetrogar,TCL - PRO NXTPAPER,TCL,PRO NXTPAPER,"TCL PRO NXTPAPER 50 6.8"" 5G 8+8GB 8+8GB 512GB withe",NA,Octa Core,8,8,6.8,108,32,Si,499999,549999,413222,NA,9,25,31249.9,3571.4,34821.3,Gama alta
Cetrogar,TCL - 50 PRO,TCL,50 PRO,"TCL 50 PRO NXTPAPER 6.8"" 5G 8+8GB 512GB space gray RV",Android 14,Octa Core,8,512,6.8,108,32,Si,499999,549999,413222,NA,9,25,961.5,3571.4,4532.9,Gama alta
Cetrogar,Tecno - Mobile Spark,Tecno,Mobile Spark,"Tecno Mobile Spark 20 PRO Tecno Mobile 6.78"" 8GB 256GB Black",NA,Octa Core,4,256,6.78,108,32,No,369999,494499,305784,NA,25,38,1423.1,2642.8,4065.9,Gama media
Cetrogar,Motorola - G85,Motorola,G85,"Motorola G85 6.6"" 8GB 256GB 5G green",NA,Octa Core,8,256,6.6,50,32,Si,579999,699999,479338,NA,17,32,2197,7073.2,9270.2,Gama alta
Cetrogar,Xiaomi - Redmi Note,Xiaomi,Redmi Note,"Xiaomi Redmi Note 13 6.6"" 6GB 128GB green",Android 13,Octa-Core 2.8GHz,6,128,6.6,108,16,No,429999,449999,355371,NA,4,21,3208.9,3467.7,6676.6,Gama media
Cetrogar,Motorola - Edge 50,Motorola,Edge 50,"Motorola Edge 50 Ultra 6.6"" 12GB 512GB Nordic wood",Android 14,Octa-Core 3GHz,12,512,6.6,50,50,Si,1499999,1599999,1239668,NA,6,23,2862.6,15000,17862.6,Gama alta
Cetrogar,Motorola - Edge 50,Motorola,Edge 50,"Motorola Edge 50 Ultra 6.6"" 12GB 512GB Peach fuzz",Android 14,Octa-Core 3GHz,12,512,6.6,50,50,Si,1499999,1599999,1239668,NA,6,23,2862.6,15000,17862.6,Gama alta
Cetrogar,Motorola - Edge 50,Motorola,Edge 50,"Motorola Edge 50 Ultra 6.6"" 12GB 512GB negro",Android 14,Octa-Core 3GHz,12,512,6.6,50,50,Si,1499999,1599999,1239668,NA,6,23,2862.6,15000,17862.6,Gama alta
Cetrogar,Motorola - Edge 50,Motorola,Edge 50,"Motorola Edge 50 6.6"" Fusion 8GB 256GB Marsh blue",Android 14,Octa-Core 3GHz,8,256,6.55,50,32,Si,599999,799999,495866,NA,25,38,2272.7,7317.1,9589.8,Gama alta
Cetrogar,Motorola - Edge 50,Motorola,Edge 50,"Motorola Edge 50 6.6"" Fusion 8GB 256GB Hot pink",Android 14,Octa-Core 3GHz,8,256,6.55,50,32,Si,599999,799999,495866,NA,25,38,2272.7,7317.1,9589.8,Gama alta
Cetrogar,Motorola - Edge 50,Motorola,Edge 50,"Motorola Edge 50 6.6"" Fusion 8GB 256GB Forest blue",Android 14,Octa-Core 3GHz,8,256,6.55,50,32,Si,599999,799999,495866,NA,25,38,2272.7,7317.1,9589.8,Gama alta
Cetrogar,Xiaomi - A3,Xiaomi,A3,"Xiaomi A3 6.7"" 3GB 64GB verde",NA,Octa Core,3,64,6.7,8,5,No,189999,199999,157023,NA,5,21,2835.8,14615.3,17451.1,Gama baja
Cetrogar,Xiaomi - A3,Xiaomi,A3,"Xiaomi A3 6.7"" 3GB 64GB negro",NA,Octa Core,3,64,6.7,8,5,No,189999,199999,157023,NA,5,21,2835.8,14615.3,17451.1,Gama baja
Cetrogar,Motorola - Razr 40,Motorola,Razr 40,"Motorola Razr 40 Ultra 6.9"" 12GB 512GB Glaciar",NA,Octa Core,12,512,6.9,12,32,Si,1299999,1699999,1074379,NA,24,37,2480.9,29545.4,32026.300000000003,Gama alta
Cetrogar,TCL - 40 NXTPAPER,TCL,40 NXTPAPER,"TCL 40 NXTPAPER 8GB 6.78"" 256GB Opalescent RV",Android 13,Octa-Core (2.0GHz -1.8GHz),8,256,6.78,50,32,Si,289999,349999,239668,NA,17,32,1098.5,3536.6,4635.1,Gama alta
Cetrogar,Motorola - Moto Razr40,Motorola,Moto Razr40,"Motorola Moto Razr40 6.9"" 8GB 256GB gris",NA,Octa Core,8,256,6.9,12,32,Si,999999,1299999,826445,NA,23,36,3787.9,22727.2,26515.100000000002,Gama media
Cetrogar,ZTE - Blade V50,ZTE,Blade V50,"ZTE Blade V50 Design 6.6"" 6GB 10GB fusión",NA,Octa Core,6,10,6.6,50,5,No,219999,339999,181817,NA,35,47,13749.9,4000,17749.9,Gama media
Cetrogar,Motorola - Moto Razr,Motorola,Moto Razr,"Motorola Moto Razr 40 Ultra 6.9"" 12GB 512GB Peach fuzz",NA,Octa Core,12,512,6.9,12,32,Si,1299999,1699999,1074379,NA,24,37,2480.9,29545.4,32026.300000000003,Gama alta
